Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
bcd,12/6/2022,0,0.00%,0,0.00%
bcd,12/7/2022,0,0.00%,0,0.00%
bcd,12/8/2022,0,0.00%,0,0.00%
bcd,12/9/2022,1,-0.49%,0,0.00%
bcd,12/12/2022,2,-0.36%,0,0.00%
bcd,12/13/2022,3,-0.13%,0,0.00%
bcd,12/14/2022,4,-1.22%,0,0.00%
bcd,12/15/2022,5,-1.47%,0,0.00%
bcd,12/16/2022,6,-1.10%,0,0.00%
bcd,12/19/2022,7,-0.81%,0,0.00%
bcd,12/20/2022,8,-0.85%,0,0.00%
bcd,12/21/2022,9,-1.01%,0,0.00%
bcd,12/22/2022,10,-0.92%,0,0.00%
bcd,12/23/2022,11,-0.70%,0,0.00%
bcd,12/27/2022,12,-0.95%,0,0.00%
bcd,12/28/2022,13,-1.14%,0,0.00%
bcd,12/29/2022,14,-0.88%,0,0.00%
bcd,12/30/2022,15,-1.42%,0,0.00%
bcd,1/3/2023,16,-1.62%,0,0.00%
bcd,1/4/2023,17,-0.33%,0,0.00%
bcd,1/5/2023,18,-0.70%,0,0.00%
bcd,1/6/2023,19,0.04%,0,0.00%
bcd,1/9/2023,20,-1.85%,0,0.00%
bcd,1/10/2023,0,0.00%,0,0.00%
bcd,1/11/2023,0,0.00%,0,0.00%
bcd,1/12/2023,0,0.00%,1,0.23%
bcd,1/13/2023,0,0.00%,2,1.00%
bcd,1/17/2023,0,0.00%,3,0.81%
bcd,1/18/2023,0,0.00%,4,0.46%
bcd,1/19/2023,1,0.03%,5,0.48%
bcd,1/20/2023,2,0.33%,6,0.78%
bcd,1/23/2023,3,0.54%,7,0.99%
bcd,1/24/2023,4,0.56%,8,1.02%
bcd,1/25/2023,5,0.80%,9,1.25%
bcd,1/26/2023,6,1.07%,10,1.53%
bcd,1/27/2023,7,0.81%,11,1.27%
bcd,1/30/2023,8,0.62%,12,1.08%
bcd,1/31/2023,9,0.41%,13,0.86%
bcd,2/1/2023,10,0.56%,14,1.01%
bcd,2/2/2023,11,1.60%,15,2.05%
bcd,2/3/2023,12,0.93%,16,1.39%
bcd,2/6/2023,13,-0.55%,17,-0.44%
bcd,2/7/2023,0,0.00%,0,0.00%
bcd,2/8/2023,0,0.00%,0,0.00%
bcd,2/9/2023,0,0.00%,0,0.00%
bcd,2/10/2023,0,0.00%,0,0.00%
bcd,2/13/2023,0,0.00%,0,0.00%
bcd,2/14/2023,0,0.00%,0,0.00%
bcd,2/15/2023,0,0.00%,0,0.00%
bcd,2/16/2023,0,0.00%,0,0.00%
bcd,2/17/2023,0,0.00%,0,0.00%
bcd,2/21/2023,0,0.00%,0,0.00%
bcd,2/22/2023,0,0.00%,0,0.00%
bcd,2/23/2023,0,0.00%,0,0.00%
bcd,2/24/2023,0,0.00%,0,0.00%
bcd,2/27/2023,0,0.00%,0,0.00%
bcd,2/28/2023,0,0.00%,0,0.00%
bcd,3/1/2023,0,0.00%,0,0.00%
bcd,3/2/2023,0,0.00%,1,0.68%
bcd,3/3/2023,0,0.00%,2,0.14%
bcd,3/6/2023,0,0.00%,3,0.67%
bcd,3/7/2023,1,0.39%,4,1.16%
bcd,3/8/2023,2,-0.66%,5,0.11%
bcd,3/9/2023,3,-0.58%,6,0.19%
bcd,3/10/2023,4,-0.32%,7,0.45%
bcd,3/13/2023,5,0.33%,8,1.10%
bcd,3/14/2023,6,1.20%,9,1.98%
bcd,3/15/2023,7,1.20%,10,1.98%
